Landed 09:58 10:12 AN5 Albuquerque(ABQ) B350N395AVAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Unknown  10:27 AN401 Albuquerque(ABQ) BETAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Landed 15:10 15:06  Amarillo(AMA) SR22N712AT -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Diverted to  GUP  18:45 AN5 Phoenix(PHX) B350N395AVAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Unknown  19:33 AN495 Phoenix(PHX) BETAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Landed 20:14 20:02  Winslow(INW) SR22N28TK -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Landed 01:26 01:21  Roswell(ROW) BE9LN249CP -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Landed 16:45 16:52  Temple(TPL) SR20N939CD -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Landed 17:21 17:42 AN5 Albuquerque(ABQ) B350N395AVAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Unknown  17:57 AN403 Albuquerque(ABQ) BETAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Landed 08:20 07:49  Midland(MAF) E550N884MC -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Landed 09:58 10:12 AN5 Albuquerque(ABQ) B350N395AVAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Unknown  10:27 AN401 Albuquerque(ABQ) BETAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Landed 15:10 15:06  Amarillo(AMA) SR22N712AT -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Diverted to  GUP  18:45 AN5 Phoenix(PHX) B350N395AVAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Unknown  19:33 AN495 Phoenix(PHX) BETAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Landed 20:14 20:02  Winslow(INW) SR22N28TK -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Landed 01:26 01:21  Roswell(ROW) BE9LN249CP -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Scheduled  07:36  Midland(MAF) E75SN170XY -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Scheduled  07:50  Midland(MAF) E550N884MC -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Scheduled  11:12 AN401 Albuquerque(ABQ) BETAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Scheduled  11:48 AN495 Phoenix(PHX) BETAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Scheduled  18:27 AN403 Albuquerque(ABQ) BETAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Scheduled  10:27 AN401 Albuquerque(ABQ) BETAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Scheduled  15:03 AN495 Phoenix(PHX) BETAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Scheduled  07:36  Midland(MAF) E75SN170XY -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Scheduled  07:50  Midland(MAF) E550N884MC -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Scheduled  11:12 AN401 Albuquerque(ABQ) BETAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Scheduled  11:48 AN495 Phoenix(PHX) BETAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Scheduled  18:27 AN403 Albuquerque(ABQ) BETAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Scheduled  10:27 AN401 Albuquerque(ABQ) BETAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Scheduled  15:03 AN495 Phoenix(PHX) BETAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Scheduled  07:36  Midland(MAF) E75SN170XY -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Scheduled  07:50  Midland(MAF) E550N884MC -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Scheduled  11:12 AN401 Albuquerque(ABQ) BETAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Scheduled  11:48 AN495 Phoenix(PHX) BETAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Scheduled  18:27 AN403 Albuquerque(ABQ) BETAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Scheduled  10:27 AN401 Albuquerque(ABQ) BETAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Scheduled  15:03 AN495 Phoenix(PHX) BETAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Scheduled  07:36  Midland(MAF) E75SN170XY -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Scheduled  07:50  Midland(MAF) E550N884MC -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Scheduled  11:12 AN401 Albuquerque(ABQ) BETAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Scheduled  11:48 AN495 Phoenix(PHX) BETAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Scheduled  18:27 AN403 Albuquerque(ABQ) BETAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Scheduled  10:27 AN401 Albuquerque(ABQ) BETAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Scheduled  15:03 AN495 Phoenix(PHX) BETAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Scheduled  07:36  Midland(MAF) E75SN170XY -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Scheduled  07:50  Midland(MAF) E550N884MC -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Scheduled  11:12 AN401 Albuquerque(ABQ) BETAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Scheduled  11:48 AN495 Phoenix(PHX) BETAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Scheduled  18:27 AN403 Albuquerque(ABQ) BETAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Scheduled  10:27 AN401 Albuquerque(ABQ) BETAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Scheduled  15:03 AN495 Phoenix(PHX) BETAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Scheduled  07:36  Midland(MAF) E75SN170XY -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Scheduled  07:50  Midland(MAF) E550N884MC -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Scheduled  11:12 AN401 Albuquerque(ABQ) BETAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Scheduled  11:48 AN495 Phoenix(PHX) BETAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Scheduled  18:27 AN403 Albuquerque(ABQ) BETAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Scheduled  10:27 AN401 Albuquerque(ABQ) BETAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Scheduled  15:03 AN495 Phoenix(PHX) BETAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
