Landed 23:16 23:29  Wichita(BEC) P28RN3049R -,,,,,,,Joplin Regional Airport(JLN/KJLN)
Diverted to  HYS  08:46  Fayetteville(FYV) BE9LN94HB -,,,,,,,Joplin Regional Airport(JLN/KJLN)
Landed 09:05 08:47  Omaha(OMA) E35LN540M -,,,,,,,Joplin Regional Airport(JLN/KJLN)
Landed 08:22 09:20  Moline(MLI) E55PN800CS -,,,,,,,Joplin Regional Airport(JLN/KJLN)
Landed 12:36 12:31  Jefferson City(JEF) SR22N3442T -,,,,,,,Joplin Regional Airport(JLN/KJLN)
Landed 15:07 15:15  Columbus(CMH) LJ75N752LP -,,,,,,,Joplin Regional Airport(JLN/KJLN)
Landed 16:40 16:54  Springfield(SGF) PC12N821CT -,,,,,,,Joplin Regional Airport(JLN/KJLN)
Landed 17:38 17:53  Lee's Summit(QQL) PA32N4336D -,,,,,,,Joplin Regional Airport(JLN/KJLN)
Landed 19:40 20:03 UA5020 Decatur(DEC) CRJ2N223JSUnited Express -,,,,,,,Joplin Regional Airport(JLN/KJLN)
Landed 21:28 21:31  Rochester(RST) C414N36887 -,,,,,,,Joplin Regional Airport(JLN/KJLN)
Landed 08:44 08:48 GTW432 St. Louis(SUS) PC12N432SSAmerican Air Charter -,,,,,,,Joplin Regional Airport(JLN/KJLN)
Scheduled  20:03 UA5020 Decatur(DEC) CRJ2N912SWUnited Express -,,,,,,,Joplin Regional Airport(JLN/KJLN)
Scheduled  17:05 UA5030 Denver(DEN) CRJ2N969SWUnited Express -,,,,,,,Joplin Regional Airport(JLN/KJLN)
Scheduled  20:03 UA5020 Decatur(DEC) CRJ2N962SWUnited Express -,,,,,,,Joplin Regional Airport(JLN/KJLN)
Scheduled  20:03 UA5020 Decatur(DEC) CRJ2N912SWUnited Express -,,,,,,,Joplin Regional Airport(JLN/KJLN)
Scheduled  17:05 UA5030 Denver(DEN) CRJ2N969SWUnited Express -,,,,,,,Joplin Regional Airport(JLN/KJLN)
Scheduled  20:03 UA5020 Decatur(DEC) CRJ2N962SWUnited Express -,,,,,,,Joplin Regional Airport(JLN/KJLN)
Scheduled  20:03 UA5020 Decatur(DEC) CRJ2N912SWUnited Express -,,,,,,,Joplin Regional Airport(JLN/KJLN)
Scheduled  17:05 UA5030 Denver(DEN) CRJ2N969SWUnited Express -,,,,,,,Joplin Regional Airport(JLN/KJLN)
Scheduled  20:03 UA5020 Decatur(DEC) CRJ2N962SWUnited Express -,,,,,,,Joplin Regional Airport(JLN/KJLN)
Scheduled  20:03 UA5020 Decatur(DEC) CRJ2N912SWUnited Express -,,,,,,,Joplin Regional Airport(JLN/KJLN)
Scheduled  17:05 UA5030 Denver(DEN) CRJ2N969SWUnited Express -,,,,,,,Joplin Regional Airport(JLN/KJLN)
Scheduled  20:03 UA5020 Decatur(DEC) CRJ2N962SWUnited Express -,,,,,,,Joplin Regional Airport(JLN/KJLN)
Scheduled  20:03 UA5020 Decatur(DEC) CRJ2N912SWUnited Express -,,,,,,,Joplin Regional Airport(JLN/KJLN)
Scheduled  17:05 UA5030 Denver(DEN) CRJ2N969SWUnited Express -,,,,,,,Joplin Regional Airport(JLN/KJLN)
Scheduled  20:03 UA5020 Decatur(DEC) CRJ2N962SWUnited Express -,,,,,,,Joplin Regional Airport(JLN/KJLN)
Scheduled  20:03 UA5020 Decatur(DEC) CRJ2N912SWUnited Express -,,,,,,,Joplin Regional Airport(JLN/KJLN)
Scheduled  17:05 UA5030 Denver(DEN) CRJ2N969SWUnited Express -,,,,,,,Joplin Regional Airport(JLN/KJLN)
Scheduled  20:03 UA5020 Decatur(DEC) CRJ2N962SWUnited Express -,,,,,,,Joplin Regional Airport(JLN/KJLN)
"Monday, Mar 11",,,,,,,Joplin Regional Airport(JLN/KJLN)
23:29,,Wichita (BEC)-,-,P28R (N3049R),,Landed 23:16,Joplin Regional Airport(JLN/KJLN),"Monday, Mar 11 2024"
"Tuesday, Mar 12",,,,,,,Joplin Regional Airport(JLN/KJLN)
08:46,,Fayetteville (FYV)-,-,BE9L (N94HB),,Diverted to  HYS,Joplin Regional Airport(JLN/KJLN),"Tuesday, Mar 12 2024"
08:47,,Omaha (OMA)-,-,E35L (N540M),,Landed 09:05,Joplin Regional Airport(JLN/KJLN),"Tuesday, Mar 12 2024"
09:20,,Moline (MLI)-,-,E55P (N800CS),,Landed 08:22,Joplin Regional Airport(JLN/KJLN),"Tuesday, Mar 12 2024"
12:31,,Jefferson City (JEF)-,-,SR22 (N3442T),,Landed 12:36,Joplin Regional Airport(JLN/KJLN),"Tuesday, Mar 12 2024"
15:15,,Columbus (CMH)-,-,LJ75 (N752LP),,Landed 15:07,Joplin Regional Airport(JLN/KJLN),"Tuesday, Mar 12 2024"
16:54,,Springfield (SGF)-,-,PC12 (N821CT),,Landed 16:40,Joplin Regional Airport(JLN/KJLN),"Tuesday, Mar 12 2024"
